"Area","Perimeter","MajorAxisLength","MinorAxisLength","roundnes","Class"
"114004","1279.356","451.36125577927","323.74799605748","0.87528025790623","BOMBAY"
"117034","1265.926","425.9237874892","351.21510887865","0.91770959701121","BOMBAY"
"126503","1326.959","475.77245858891","339.38188677139","0.9028085848572","BOMBAY"
"128118","1360.135","504.02496418809","","0.87027394567305","BOMBAY"
"129409","1348.888","484.36442404252","341.17265927397","0.89376339361802","BOMBAY"
"129807","1356.314","493.24186401518","336.46483691491","0.88672200839252","BOMBAY"
"130070","1362.228","486.70623018596","343.11478303831","0.88082046953629","BOMBAY"
"131249","1374.898","521.1492463878","323.79025640052","0.87249893746169","BOMBAY"
"131488","1368.233","485.8925009055","345.62126351408","0.88262426315351","BOMBAY"
"132254","1358.189","497.76766836767","339.63634182943","0.90094496496819","BOMBAY"
"132399","1335.884","486.85956725627","346.58071183464","0.93230297989278","BOMBAY"
"132851","1369.46","511.97575052536","333.40497318923","0.89017622017594","BOMBAY"
"132889","1373.51","499.64649301124","339.90683953548","0.88518744591156","BOMBAY"
"133760","1369.738","481.2607823457","354.62566340464","0.89590325691746","BOMBAY"
"134012","1385.807","517.76491240852","331.91602368552","0.87689592373936","BOMBAY"
"134251","1391.532","523.62902093182","327.67552035411","0.87124640180978","BOMBAY"
"135222","1371.667","495.10240981567","348.78466864566","0.90314990038869","BOMBAY"
"135403","1381.938","523.25542691692","332.19577633779","0.89096579753854","BOMBAY"
"135898","1385.644","509.44331761248","341.49006361257","0.8894460242626","BOMBAY"
"137075","1432.713","526.89806146349","334.11751213002","0.83916954755526","BOMBAY"
"137115","1427.056","519.1997446149","337.47464628033","0.84608267122734","BOMBAY"
"137358","1364.645","507.98589043262","345.2228516989","0.92688199531597","BOMBAY"
"137518","1417.944","519.77999990978","339.9302724401","0.85951063173788","BOMBAY"
"137748","1389.634","499.37054408853","353.30131422707","0.89638442758556","BOMBAY"
"137890","1410.302","522.18757389079","338.3644715131","0.8712010537154","BOMBAY"
"138059","1459.686","540.67782264171","334.16647591138","0.81424612795844","BOMBAY"
"138114","1368.731","483.71736484675","364.51902251918","0.92642733367467","BOMBAY"
"138244","1395.699","510.68125146305","346.64539184651","0.89181058082969","BOMBAY"
"138265","1396.139","512.80635066023","345.18129888335","0.89138393792038","BOMBAY"
"138659","1415.439","509.82752074251","347.58541833855","0.86971230053255","BOMBAY"
"138777","1403.006","502.61346399732","353.81141168707","0.88594814334525","BOMBAY"
"138976","1404.377","509.41007676632","351.6482863706","0.88548713372873","BOMBAY"
"139523","1410.901","501.72152896972","354.96857074839","0.8807701492915","BOMBAY"
"139639","1379.183","473.78059792446","376.5502411131","0.92251365518911","BOMBAY"
"139686","1402.293","508.68194851081","350.94693201433","0.89265822922463","BOMBAY"
"139841","1430.241","524.80245629001","341.34008491006","0.85906482672248","BOMBAY"
"140313","1432.029","517.42590230559","347.2543044436","0.85981327958598","BOMBAY"
"140867","1414.336","500.30777555713","360.17758791446","0.88494022802013","BOMBAY"
"140964","1425.6","538.23895923907","334.91057884588","0.87161100581477","BOMBAY"
"141385","1429.427","525.90092398108","344.35511843043","0.86953934544707","BOMBAY"
"141519","1442.904","523.100668095","347.09579257032","0.85418067242762","BOMBAY"
"141850","1432.847","524.92347065962","346.91092007814","0.86823955357442","BOMBAY"
"141953","1402.05","524.23116333014","346.39749978871","0.90745988493899","BOMBAY"
"142154","1378.113","501.72937442843","361.6697526233","0.94058768780021","BOMBAY"
"142238","1425.362","516.44262667839","351.41486453069","0.87978215421683","BOMBAY"
"142399","1430.275","524.58841234592","347.26177244469","0.87473742577962","BOMBAY"
"142592","1408.745","519.77563553538","351.29238491381","0.90290123953902","BOMBAY"
"143603","1405.207","516.01991435202","356.29380306876","0.91388756433941","BOMBAY"
"144058","1463.258","536.88751961058","343.96283911772","0.8454840726035","BOMBAY"
"144079","1462.012","534.5994627254","346.33073584813","0.84704927490934","BOMBAY"
"45504","793.417","295.46983055204","196.31182248937","0.90835672452768","CALI"
"45666","789.77","274.86335726075","211.88513916338","0.92002911454256","CALI"
"48373","825.148","313.57041699339","197.89870021516","0.89278972550488","CALI"
"49245","822.642","301.39279098404","208.34644372587","0.91442954277017","CALI"
"49882","891.505","357.18900363774","179.83469135101","0.78868967530924","CALI"
"50954","865.763","330.15547396075","198.46152528567","0.85426006377593","CALI"
"51643","855.523","307.99561115652","213.62472630489","0.88666169686988","CALI"
"52448","882.474","336.9594210523","199.00511267777","0.84632069024391","CALI"
"53609","893.456","354.72543368628","193.35432504701","0.84391990573679","CALI"
"54076","893.989","342.74242466901","203.2595129805","0.85025672027834","CALI"
"54137","905.416","356.39267181381","195.43736558881","0.82986551911734","CALI"
"54343","867.59","303.84795599223","228.01623265284","0.90724461420782","CALI"
"54680","899.793","353.57763831114","198.31409461593","0.8486979428158","CALI"
"55501","898.191","345.52315904947","207.02969939133","0.86451647518557","CALI"
"55544","924.19","357.69670187721","198.22572114613","0.8171927147136","CALI"
"55549","914.595","348.48619559351","205.18910034591","0.83450407844396","CALI"
"55608","918.716","348.45015575573","205.40623249387","0.82791276673691","CALI"
"55722","897.584","318.932335932","225.00863892403","0.86913323060151","CALI"
"55938","909.933","347.27647937611","205.53038419388","0.84898099306514","CALI"
"55972","897.386","342.49191630119","208.79557617073","0.87341794329927","CALI"
"56270","920.481","374.0994200365","194.09234575782","0.83455914834228","CALI"
"56376","921.455","350.69229282902","205.39872972948","0.83436458237771","CALI"
"56627","922.876","356.18402938605","203.04569679011","0.83550049985278","CALI"
"56675","898.464","344.9441908434","210.22505072556","0.88226699360957","CALI"
"56679","911.133","355.94583660098","204.89144935546","0.85796286413495","CALI"
"56834","910.081","341.57032462385","212.39130137017","0.86229921710948","CALI"
"57017","903.559","349.81190418673","210.80113190164","0.87760925516974","CALI"
"57017","903.261","355.33393723362","205.45765017447","0.87818842486503","CALI"
"57391","921.48","362.56860775187","203.7016423367","0.8493404909126","CALI"
"57549","929.955","362.93739981492","204.55443407682","0.83622621450636","CALI"
"57617","901.703","344.41092668341","213.78181211817","0.89049908292012","CALI"
"57786","916.524","331.87501143412","224.93443638757","0.86445982293689","CALI"
"57853","930.73","358.6434909233","207.2421815213","0.83924415101291","CALI"
"57862","951.333","372.43703050014","201.99252125467","0.80341175397811","CALI"
"57907","915.319","360.66095528036","206.69591919807","0.86855230076064","CALI"
"58094","922.37","350.10623792093","212.85566948122","0.85808597985173","CALI"
"58102","907.665","334.8035816135","223.86625649274","0.88623677562925","CALI"
"58252","950.381","363.19103478275","208.03482097625","0.81044811079755","CALI"
"58634","930.427","351.83746714245","214.94190604348","0.85112780285983","CALI"
"58740","942.69","370.65745029829","204.00341517211","0.83062692722002","CALI"
"58822","942.558","368.17503796768","206.61877306304","0.83201945814471","CALI"
"58877","964.919","376.85033838529","202.26887884458","0.79464621814409","CALI"
"58961","936.527","363.14545595142","208.20994723287","0.84476147455794","CALI"
"59039","930.334","349.79416725788","217.03388625804","0.85717810816265","CALI"
"59041","931.502","359.77923083641","211.32354949761","0.85505880856933","CALI"
"59183","934.857","353.57734908789","214.67130180663","0.85097435296379","CALI"
"59208","958.477","371.69115074775","203.74937083163","0.80989154212226","CALI"
"59338","940.712","352.18297551318","215.78367862599","0.8426154154205","CALI"
"59344","944.279","355.42478247289","214.73112716019","0.8363460635356","CALI"
"59387","930.813","361.38646569743","210.66425691039","0.86134348013622","CALI"
"31519","676.641","255.07356214472","157.80273995541","0.86509873100099","SIRA"
"31751","671.914","244.10271898349","168.52249113548","0.8837712953992","SIRA"
"32857","668.106","233.80496774347","179.50091904471","0.92501127793538","SIRA"
"33180","670.488","240.9695005044","175.64504019512","0.9274793023956","SIRA"
